DEMOGRAPHICS,,,,,,,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,WHAT INFLUENCED YOUR DECISION TO PURCHASE TIC TAC MINI PACKS?,,,,,,,,,WHERE DID YOU FIND THE PRODUCT? ,,WHERE DID YOU EXPECT TO FIND THE PRODUCT? ,,,WHICH BRAND OF CANDY/MINTS DO YOU TYPICALLy PURCHASE?  ,,,,,
Survey Respondent,Gender,Age Tier,Flavor Purchased, Did you purchase and try Tic Tac Mini Packs,When do you plan on trying the product?  ,"After trying the product, what did you like the most? ","After trying the product, what did you like the least?",What did you think of the flavor you redeemed? ,When was the last time you purchased a Tic Tac?  ,Tastes great,Easy to share,The unique flavors,It’s the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,I like Tic Tac and wanted to try Tic Tac Mini Packs,"I wanted to try the flavors offered (Freshmint, Tropical Mix)",Tic Tac Mini Packs was more appealing than the candy/mints I usually buy,Tic Tac Mini Packs provided more value than the other candy/mints I usually buy,I like the convenience of the multi-serve packaging ,The Ibotta Rebate,"Other, please specify...","Other, please specify... [text",Were you able to easily find Tic Tac Mini Packs? ,Where did you find the product? ,Where did you find the product?  [other],Where did you expect to find the product? ,Where did you expect to find the product?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase?  ,Which brand of candy/mints do you typically purchase?   [other],Would you consider yourself loyal to that brand? ,How likely are you to repurchase Tic Tac Mini Packs the next time you buy candy/mints? ,"In the future, how often would you purchase Tic Tac Mini Packs? ",Why would you likely not repurchase Tic Tac Mini Packs? 
Respondent 250,F,25-34,Tropical Mix,Yes,,that it is in tiny little packs,it was a little expensive,Extremely Liked ,Four to seven days ago,1,,,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 251,F,35-44,Multiple Flavors,Yes,,The size,Wish there were more ,Extremely Liked ,Rarely or Never,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 252,F,35-44,Fresh Mint,Yes,,I love the convenient small packs to carry in the pockets and such. Of course we love the fresh mint flavor of the Tic Tacs as well!,"if anything, maybe the price was a little higher than I would have liked to have paid for them. But it is an awesome product.",Extremely Liked ,Four to seven days ago,1,1,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 253,F,35-44,Multiple Flavors,Yes,,The individual packaging,The bulk of the outer foil packaging,Moderately Liked  ,Longer than a month ago,,1,,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 254,F,25-34,Fresh Mint,Yes,,The individual packs. ,Not really anything,Extremely Liked ,Longer than a month ago,1,,,,,,,,,,,,1,1,My kids really like tic tacs,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month or less,
Respondent 255,F,35-44,Tropical Mix,Yes,,The packaging ,Nothing...I love it all,Extremely Liked ,Longer than a month ago,1,1,,,1,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 256,F,35-44,Multiple Flavors,Yes,,Convenient ,Lots of wrappers,Moderately Liked  ,Longer than a month ago,,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 257,F,45-54,Multiple Flavors,Yes,,Taste,Nithing,Extremely Liked ,Longer than a month ago,1,,,,,,,,,,,,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Skittles,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 258,M,45-54,Fresh Mint,Yes,,pre-packaged serving size,"thought the tropical would be mixed, not seperate flavors",Extremely Liked ,Longer than a month ago,1,1,,,1,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 259,F,25-34,Tropical Mix,Yes,,the individual serving packs,i would have liked a mixture of flavors in one serving packet instead of 4 of one flavor,Moderately Liked  ,Rarely or Never,1,1,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 260,F,35-44,Tropical Mix,Yes,,The individual packaging ,"Nothing, everything was just right ",Moderately Liked  ,Rarely or Never,1,1,1,1,1,,1,1,1,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Starburst,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month or less,
Respondent 261,F,35-44,Multiple Flavors,Yes,,That they were individually packaged,Nothing ,Extremely Liked ,Two or three days ago,1,1,1,1,1,,1,1,1,1,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 262,F,45-54,Tropical Mix,Yes,,great taste and easy to use package,I was very happy with them and plan to purchase again,Extremely Liked ,Rarely or Never,1,,,,,,,,,,,1,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Altoids,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 263,F,25-34,Fresh Mint,Yes,,That I could just grab a few packs and stick in my pockets without the bulk of the whole container,That they couldn't reseal if you didn't want all 4,Slightly Disliked,In the last month,,,,,,,1,1,,,1,1,1,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Multipack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 264,F,35-44,Fresh Mint,Yes,,Variety,Amount in the individual packs,Extremely Liked ,Today,1,1,1,,1,1,,1,1,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"Other, please specify...",Not really brand specific ,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 265,F,45-54,Multiple Flavors,Yes,,Breath freshening quality,I love tic tacs. I like everything about the product.,Extremely Liked ,Four to seven days ago,1,,,,,,,1,1,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 266,F,25-34,Fresh Mint,Yes,,The individualized portions,Sometimes I dropped a tic tac or two when opening the package ,Extremely Liked ,Four to seven days ago,1,,,,1,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 267,F,45-54,Multiple Flavors,Yes,,Individual serving size,Big bag holding product was not recloseable. Product pacs were fallong out of bag.,Extremely Liked ,Longer than a month ago,1,1,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 268,F,25-34,Tropical Mix,Yes,,Different flavors,Hard to open the small pack without dropping a few,Extremely Liked ,Longer than a month ago,1,,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 269,M,55-64,Multiple Flavors,Yes,,Convenience,Price,Extremely Liked ,Rarely or Never,1,1,1,,,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 270,F,25-34,Fresh Mint,Yes,,The mini packs are nice to give to friends or throw in your purse. ,Nothing.  I love them.  Wish I could find the tropical in the mini,Slightly Liked,Rarely or Never,1,1,1,,,,,1,1,1,,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 271,F,25-34,Fresh Mint,Yes,,"They are the perfect portion and are fun to share with family, friends, and coworkers!","Loved everything about them, I just wish we could find the fruit flavor (we have only been able to find the white mint)",Moderately Liked  ,Four to seven days ago,1,1,1,,,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 272,F,25-34,Multiple Flavors,Yes,,These are the best thing vs since sliced bread!! I love home they are individually wrapped and I can open and pop in my mouth! I don't have to worry about carrying the entire bottle with me anymore. I will for sure be buying more in the future!!!!,Not sure there are enough little buggies in the big bag :),Extremely Liked ,Four to seven days ago,1,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"Other, please specify...",Whatever is on sale,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 273,F,25-34,Fresh Mint,Yes,,Small packs,Not resealable packages,Slightly Liked,In the last month,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I’m not loyal to any brands ",Definitely would not ,,The tiny packs are terrible to open then they don't reseal so I'd have to have all four at once. I was hoping for a small pack to put in my pocket while working that isn't terribly obvious. 
Respondent 274,F,45-54,Multiple Flavors,Yes,,The small packaging,Nothing,Extremely Liked ,Rarely or Never,1,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 275,F,45-54,Tropical Mix,Yes,,Flavor ,The green ones,Extremely Liked ,Two or three days ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 276,F,25-34,Multiple Flavors,Yes,,I like how it's small packages easy to take with you anywhere. ,The ones I got were a little to strong ,Moderately Liked  ,In the last month,1,1,1,,,,1,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 277,F,25-34,Fresh Mint,Yes,,The individual wrapping,Na,Extremely Liked ,Longer than a month ago,,,,,1,,,,,,,,,1,Sugar free,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 278,M,35-44,Fresh Mint,Yes,,They were yummy,Hard to bite,Extremely Liked ,Two or three days ago,1,1,,1,1,,1,1,1,1,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 279,F,25-34,Multiple Flavors,Yes,,Easy to fit in my pocket,Once the packet was opened had to do use all of them,Moderately Liked  ,Longer than a month ago,1,1,,1,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 280,F,45-54,Multiple Flavors,Yes,,individually wrapped,price,Moderately Liked  ,In the last month,1,1,,,1,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 281,F,45-54,Tropical Mix,Yes,,All the different flavors in one pack ,No complaints ,Extremely Liked ,In the last month,,,1,,,,,,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 282,F,35-44,Multiple Flavors,Yes,,"The convenience. They fit in my pocket nicely, without making any rattling sound.",The size. ,Moderately Liked  ,Yesterday,1,1,,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 283,F,45-54,Fresh Mint,Yes,,The convenience of the packaging.,I loved the whole concept. I dropped a few in my purse and was able to conviently grab when I wanted one.,Extremely Liked ,Longer than a month ago,1,1,,,,,1,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 284,F,35-44,Multiple Flavors,Yes,,The taste,Mint ones,Extremely Liked ,Rarely or Never,1,1,1,1,1,,,1,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Skittles,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 285,F,35-44,Fresh Mint,Yes,,"the small packaging, good for pocket or backpack or lunch box",the bag is very hard to open. does not have zip top.,Moderately Liked  ,In the last month,1,1,1,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 286,F,45-54,Fresh Mint,Yes,,Taste,Could use more pieces,Moderately Liked  ,Rarely or Never,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month or less,
Respondent 287,F,35-44,Fresh Mint,Yes,,Convenient ,Limited flavor ,Moderately Liked  ,Four to seven days ago,1,,,,,,,1,,,,,1,1,Kids ,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 288,F,45-54,Tropical Mix,Yes,,The different flavors,All the tiny wrappers,Extremely Liked ,Four to seven days ago,1,1,1,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 289,F,35-44,Multiple Flavors,Yes,,Individual packaging made sharing easy,Na,Extremely Liked ,Two or three days ago,1,1,1,1,1,1,1,1,,,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Starburst,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 290,F,45-54,Fresh Mint,Yes,,"The individual packets are great, and I like the initial sweetness of the mint",Sometimes I feel the mint is a bit strong,Moderately Liked  ,Longer than a month ago,1,,1,,,,,,,1,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 291,F,35-44,Fresh Mint,Yes,,The easy despensing,Easy despensing ,Extremely Liked ,In the last month,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 292,F,35-44,Fresh Mint,Yes,,Convenient amount of tic tacs in each package,The size of the packaging,Extremely Liked ,Two or three days ago,1,,,1,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 293,F,35-44,Tropical Mix,Yes,,"The variety selection, small convenient size of packs",Stuck with flavor didn't like,Moderately Liked  ,Longer than a month ago,1,1,1,,,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 294,F,25-34,Tropical Mix,Yes,,The tic tacs ,The packs were too small,Moderately Liked  ,In the last month,1,1,,,,,,1,,,,,,1,Thought my niece would like them,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 295,F,45-54,Tropical Mix,Yes,,4 to a pack and all same flavor,Price,Extremely Liked ,In the last month,1,,,,1,,,,,,,1,1,,,"No, it wasn’t where I expected to find it",,,"Other, please specify...","In the candy aisle, with the packages of gum",Single Pack,Tic Tac,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 296,F,55-64,Fresh Mint,Yes,,Shuttle flavor. Not too strong,Need several to get good taste,Extremely Liked ,Longer than a month ago,1,1,1,1,,,,,,,,1,1,1,Stay fresh longer,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Month or less,
Respondent 297,F,45-54,Multiple Flavors,Yes,,the way they are in little packs,nothing,Extremely Liked ,In the last month,1,1,,,1,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 298,F,35-44,Fresh Mint,Yes,,I like the individual packs that you can store anywhere because they are so small,Nothing ,Extremely Liked ,Four to seven days ago,1,1,,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 299,F,25-34,Fresh Mint,Yes,,Smooth ,Color,Slightly Liked,Yesterday,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 300,F,35-44,Tropical Mix,Yes,,All the family loved the small packs. Easy to  put in their  pocket and have different flavors. We bought the tropical mix.,"Oddly enough, the small packs. When I was alone, I have to eat all four because the packets didn't seal. Most of the family ate all four, but  I would have liked to be able to save them. Maybe a little bigger bag that could seal with a fold.",Extremely Liked ,Longer than a month ago,1,1,1,,1,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 301,F,55-64,Fresh Mint,Yes,,The convenience for pocket and same taste.  Yay,Not being ablebto find tropical fruit,Extremely Liked ,Four to seven days ago,1,,,,1,,,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 302,F,55-64,Fresh Mint,Yes,,flavor,packaging,Extremely Liked ,Four to seven days ago,,,,,1,,,1,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 303,F,45-54,Multiple Flavors,Yes,,The little packs are the perfect size to take with you or I have them in a bowl on the counter for my family to enjoy,That my kids leave the little wrappers every where,Moderately Liked  ,Four to seven days ago,1,1,1,,,,,,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Skittles,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 304,F,25-34,Fresh Mint,Yes,,Convenient little packs for travel without the noise ,Nothing,Extremely Liked ,In the last month,1,,,,,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 305,F,35-44,Fresh Mint,No,Within the next week,,,,Rarely or Never,,,,1,,,,1,,,,,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 306,F,35-44,Fresh Mint,Yes,,The small size in seperate packages.,I find that I'm not a fan of the wintermint,Slightly Disliked,Four to seven days ago,1,1,1,,,,,1,,,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Skittles,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 307,F,45-54,Tropical Mix,Yes,,Orange strawberry melon,Mango,Extremely Liked ,Yesterday,1,1,,,1,,,1,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 308,0,35-44,Multiple Flavors,Yes,,Compact single size servings,A little hard to open tiny packs,Moderately Liked  ,Rarely or Never,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 309,F,25-34,Multiple Flavors,Yes,,That I was able to just open and toss some in my purse,"For the price, I felt like there should have been more in the package",Extremely Liked ,Longer than a month ago,1,,,,,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 310,F,25-34,Tropical Mix,Yes,,Flavor,Packaging,Moderately Liked  ,Four to seven days ago,,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 311,F,25-34,Tropical Mix,Yes,,I like that they are in individual packets so easier to just have a few with you at a time.,I don't like the yellow ones at all.,Moderately Liked  ,Four to seven days ago,1,1,1,,,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Skittles,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 312,M,45-54,Tropical Mix,Yes,,Convient ,There gone to fast ,Extremely Liked ,In the last month,,1,,,,,,,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Skittles,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 313,F,15-24,Tropical Mix,Yes,,The flavors of the tic tacs and the portable packages ,Liked everything about them ,Extremely Liked ,In the last month,1,1,1,,,,,1,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 314,F,45-54,Multiple Flavors,Yes,,They individual packs were great,No negatives,Extremely Liked ,Longer than a month ago,1,1,1,,1,,,,,,,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 315,F,45-54,Multiple Flavors,Yes,,"the only thing i liked was that the package is big enough that i cold put it in the console of my car and not forget it was there. i guess they would be good to hand out for halloween, for the parents, mot the kids.",i didnt really care for the flavor ,Moderately Disliked  ,In the last month,,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 316,M,55-64,Tropical Mix,Yes,,The flavor ,No complaints ,Extremely Liked ,Four to seven days ago,1,1,1,,1,,,1,,1,1,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 317,F,25-34,Multiple Flavors,Yes,,I loved the fruity flavor and they are very convenient to throw in my purse. I don't have to worry about shaking a lot of them out of a box.,I didn't like flavor of the freshmint tic tacs.,Extremely Liked ,In the last month,1,1,1,1,,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 318,F,55-64,Fresh Mint,Yes,,mouth feels clean after and only need one for that no calories,rattling noise in your pocket,Extremely Liked ,Two or three days ago,1,1,,1,,1,,1,,1,,1,1,,,"No, I had to go to more than one store to find it",,,In the checkout lane with the other mints,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 319,F,35-44,Tropical Mix,Yes,,The size of the package. ,Nothing,Extremely Liked ,Two or three days ago,,,1,,,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 320,F,45-54,Tropical Mix,Yes,,Convenience and fruitty taste,Can't think of anything I didn't like.,Extremely Liked ,In the last month,1,1,1,1,1,,,1,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 321,F,55-64,Fresh Mint,Yes,,Size,Nothing,Neither Liked nor Disliked,Rarely or Never,,,1,,,,,,,,1,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 322,F,55-64,Multiple Flavors,Yes,,The mint taste ,Nothing ,Extremely Liked ,Two or three days ago,1,1,,1,,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 323,F,45-54,Multiple Flavors,Yes,,I liked the small packages.  You can take along a lot or a little.,the flavor of the mango,Slightly Liked,Today,1,1,,1,1,,,,1,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 324,F,65+,Fresh Mint,Yes,,freshmints,liked both,Moderately Liked  ,Four to seven days ago,,1,,,,,,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 325,F,55-64,Tropical Mix,Yes,,They last a long time,they're not bigger,Extremely Liked ,Rarely or Never,1,,1,,,,,,1,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Skittles,,"No, I vary between a few different brands",Definitely would ,Once a Month or less,
Respondent 326,M,45-54,Tropical Mix,Yes,,the taste was great and i love the small packaging ,no way to eat only one mint at a time you have to eat all 4 at the same time,Extremely Liked ,Longer than a month ago,,1,,,,,,1,1,,,1,1,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 327,F,45-54,Multiple Flavors,Yes,,Flavored is good and convince to carry. ,None,Extremely Liked ,Four to seven days ago,1,1,1,,,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 328,F,55-64,Fresh Mint,Yes,,I liked the individual packs because they were so easy to put in my pocket ,I wish they came in wintergreen liked everything else,Extremely Liked ,Longer than a month ago,1,1,,,1,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I’m not loyal to any brands ",Definitely would ,Once a Month or less,
Respondent 329,F,25-34,Tropical Mix,Yes,,The same flavors all together in one individual package,The packages were not easily opened (especially by children),Extremely Liked ,Longer than a month ago,1,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 330,M,35-44,Multiple Flavors,Yes,,same great taste packaged to go,"if I wanted a lot, took time to open all the packs",Moderately Liked  ,Two or three days ago,,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 331,F,45-54,Multiple Flavors,Yes,,oh my goodness love them!,have nothing bad to say..,Extremely Liked ,Longer than a month ago,1,1,,,1,,,1,,1,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
