DEMOGRAPHICS,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,,,,,WHICH FLAVOR(S) DIDN'T APPEAL TO YOU? (SELECT ALL THAT APPLY),,,,,,,,,,,,,,,,,,
Survey Respondent,Gender,Age Tier, Did you unlock the Tic Tac Mini Packs rebate in the Ibotta app?,Easy to share with friends and family,Easy to share around the office with co-workers,It's the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,When was the last time you tried a Tic Tac? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing?  [other],Where did you expect to find the product?,Where did you expect to find the product? [other],Melon,Strawberry,Orange,Mango,Freshmint,Did you buy another brand of candy/mints instead of Tic Tac Mini Packs? ,Which type of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase?  [other],Did you purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints did you choose to purchase? ,Which brand of candy/mints did you choose to purchase?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase? ,Which brand of candy/mints do you typically purchase?  [other],Would you consider yourself loyal to that brand? ,How likely are you to consider choosing Tic Tac Mini Packs the next time you buy candy/mints? ,What flavor would you most likely purchase? ,Why would you consider choosing other brands before Tic Tac Mini Packs? 
Respondent 797,0,35-44,Yes,,,,1,,,Two or three days ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 798,F,25-34,Yes,1,1,,1,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Whether there is a sale on others or not
Respondent 799,F,35-44,Yes,1,,,,,,Today,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 800,F,15-24,Yes,,,,,,1,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 801,F,55-64,Yes,,,,1,,,Longer than a month ago,"Other, please specify...",Its not something i purchase on a regular basis,,,,,,,,No,,,,,,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",I would not consider choosing it,,Only if the price was low enough or i had a coupon
Respondent 802,F,25-34,Yes,1,,,,,1,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,to try new things 
Respondent 803,M,25-34,Yes,,,,,,1,Longer than a month ago,"Other, please specify...",too busy lately to redeem,,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,price/good deal
Respondent 804,F,25-34,Yes,,1,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 805,F,25-34,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Life Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 806,F,25-34,Yes,,,,1,,,In the last month,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Skittles ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 807,F,45-54,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 808,F,45-54,Yes,1,,1,1,,,In the last month,"Other, please specify...","Forgot about rebate, so didn't look for item",,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 809,F,45-54,Yes,1,1,,,,1,Two or three days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Because they last longer. 
Respondent 810,F,45-54,Yes,,,,1,,,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 811,F,35-44,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 812,F,25-34,Yes,1,,,,,1,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,"Other, please specify...",Reese's,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 813,F,25-34,Yes,1,,1,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"Other, please specify...",fres hmint,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 814,M,35-44,Yes,1,,,,,,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 815,F,35-44,Yes,1,,,,,,In the last month,"Other, please specify...",Just forgot to look for them,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 816,F,15-24,Yes,,,1,,,1,Longer than a month ago,The individual packaging didn’t appeal to me,,,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,"Tic Tacs are more candy-like to me, rather than a strong breath mint. It depends what I'm looking for."
Respondent 817,F,35-44,Yes,,,,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 818,F,35-44,Yes,1,1,,,,,Longer than a month ago,I was unable to find the product in the store,,"Other, please specify...",Both candy isle and checkouts ,,,,,,No,,,,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Availability 
Respondent 819,F,25-34,Yes,,,,,,1,Longer than a month ago,"Other, please specify...",I usually try to stack a coupon with a rebate and haven't come across one for the mini packs. ,,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,"It depends on my mood most of the time, as to which brand I buy. "
Respondent 820,F,45-54,Yes,1,,,1,,,Rarely or Never,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,"Brand lolalty.  Also, am a gum chewer for the most part."
Respondent 821,F,15-24,Yes,,,,,,1,Longer than a month ago,"Other, please specify...",I didn't not have enough time.,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,They are much larger.
Respondent 822,F,35-44,Yes,,,1,,,,In the last month,"Other, please specify...",forgot,,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 823,F,35-44,Yes,1,,1,1,,,Longer than a month ago,"Other, please specify...",I will use the rebate most likely in the future,,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 824,F,35-44,Yes,,,,,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Just for Variety
Respondent 825,F,35-44,Yes,1,1,1,1,,1,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Fruit Adventure ,,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 826,F,35-44,Yes,,,1,,,,Today,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 827,F,15-24,Yes,,,1,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 828,F,45-54,Yes,1,1,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 829,F,25-34,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 830,F,25-34,Yes,1,1,,1,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Altoids ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Price and availability
Respondent 831,F,35-44,Yes,1,,,,,,Yesterday,I was unable to find the product in the store,,With the chips and other snacks,,,,,,,No,,,,,,,Multipack,Mentos,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 832,F,45-54,Yes,1,,,,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 833,F,35-44,Yes,1,1,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 834,F,35-44,Yes,1,,,,,,In the last month,"Other, please specify...",Kept forgetting to buy it when at the store,,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 835,M,35-44,Yes,,,,,,1,Two or three days ago,The individual packaging didn’t appeal to me,,,,,,,,,No,,,,,,,Multipack,Mentos,,"Yes, I always purchase the same candy/mints brand",I would not consider choosing it,,love  it
Respondent 836,M,35-44,Yes,,1,,,,,Two or three days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 837,F,45-54,Yes,1,,,1,,1,Longer than a month ago,"Other, please specify...",I never made it to that section of the store. ,,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 838,F,35-44,Yes,,,,1,1,1,Longer than a month ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,"Familiar, readily available"
Respondent 839,M,45-54,Yes,1,1,1,1,1,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 840,F,45-54,Yes,,,,1,,,Two or three days ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,1,,1,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 841,F,35-44,Yes,1,1,1,1,,,Two or three days ago,"Other, please specify...",Forgot to redeem,,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 842,F,35-44,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 843,F,45-54,Yes,1,1,,1,1,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 844,0,35-44,Yes,1,,,1,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Skittles,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 845,F,45-54,Yes,,1,,1,,1,In the last month,The individual packaging didn’t appeal to me,,,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Convenience of what's available at the checkout. 
Respondent 846,F,55-64,Yes,1,,1,,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 847,F,25-34,Yes,,,,1,,,In the last month,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Ice Breakers ,,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 848,F,25-34,Yes,,1,,,,,Two or three days ago,"Other, please specify...",Didn't purchase in time for rebate. ,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 849,F,55-64,Yes,1,,,,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 850,M,15-24,Yes,,,,1,,1,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 851,F,35-44,Yes,1,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 852,F,25-34,Yes,,1,,,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Starburst ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 853,M,45-54,Yes,,,,1,,1,Longer than a month ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Altoids ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Price
Respondent 854,F,35-44,Yes,1,1,,,,,Yesterday,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 855,M,25-34,Yes,1,,,,,,Today,I was unable to find the product in the store,,With the chips and other snacks,,,,,,,"Yes, a different type of Tic Tac",Multipack ,Tic Tac Mixers: Cherry to Cola ,,,,,Multipack,Skittles,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 856,F,35-44,Yes,1,,,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Multipack ,"Other, please specify...",Berry,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 857,F,15-24,Yes,,,1,1,,,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 858,F,45-54,Yes,1,1,1,1,1,1,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 859,F,45-54,Yes,,,,1,,,Longer than a month ago,"Other, please specify...",I forgot to get any tic tac mini packs,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 860,M,55-64,Yes,1,,,,,1,Two or three days ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Altoids ,,,,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 861,F,35-44,Yes,1,1,,1,1,1,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Peach to Lemonade ,,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 862,M,25-34,Yes,,,,1,,,Today,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 863,F,25-34,Yes,,,1,1,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Skittles ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,The price is higher than other mints. If it was the original tic tacs I would purchase those.  They are always $1 or less.
Respondent 864,M,35-44,Yes,1,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 865,F,35-44,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 866,F,35-44,Yes,1,1,,1,,1,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 867,F,35-44,Yes,,,,,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 868,F,45-54,Yes,1,1,,1,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 869,F,35-44,Yes,,,,1,,,Two or three days ago,"Other, please specify...",Forgot about redeeming the rebate,,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 870,F,15-24,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 871,F,45-54,Yes,1,1,,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,"Other, please specify...",Cherry cola & Fruit adventure ,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 872,F,35-44,Yes,,,1,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 873,F,65+,Yes,1,,,,,,Two or three days ago,"Other, please specify...","I DID BUY TIC TACS, JUST BOUGHT THE WRONG PACKAGE BY MISTAKE AND IBOTTA REBATE DIDN'T MATCH IT.",,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 874,M,25-34,Yes,,1,1,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 875,F,45-54,Yes,,1,,,,,In the last month,"Other, please specify...",I purchased at a non-participating store,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 876,F,25-34,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Mentos ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Bigger variety of flavors
Respondent 877,M,35-44,Yes,,,,,,1,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Mentos,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 878,M,45-54,Yes,,,,1,,,Two or three days ago,"Other, please specify...","Simply forgot, though intended",,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 879,F,35-44,Yes,1,,,1,,,Today,"Other, please specify...",I didn't write it on my list and forgot about it.,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 880,M,55-64,Yes,1,1,,,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Breath Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 881,F,35-44,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Starburst,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 882,F,55-64,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 883,F,25-34,Yes,1,1,,,1,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 884,F,45-54,Yes,1,1,,,1,,Yesterday,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 885,F,45-54,Yes,1,,1,,,,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Starburst ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 886,F,35-44,Yes,1,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 887,F,45-54,Yes,,,,1,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 888,F,35-44,Yes,,,1,,,,Yesterday,"Other, please specify...",I able to buy yesterday,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",It is my first choice ,Freshmint,
Respondent 889,M,45-54,Yes,,,,1,,,In the last month,"Other, please specify...",Never went to the store as planned,,,,,,,,No,,,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 890,F,45-54,Yes,,,,,,1,Rarely or Never,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,Skittles,,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,It has to have a coupon
Respondent 891,F,45-54,Yes,,1,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 892,M,35-44,Yes,1,,,,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 893,M,25-34,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,To try different taste 
Respondent 894,F,35-44,Yes,1,,,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 895,F,45-54,Yes,,,1,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 896,F,25-34,Yes,,,,1,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Starburst,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
